"iso","scope","quintile","gender","population","population_perc","ave_income_pc","max_income_pc","ave_hh_income","max_hh_income","access_water_piped_house","access_water_piped_plot","access_water_other_min","access_water_other_max","access_water_daily","access_san_exclusive","access_sewer","access_septic","access_latrine_min","access_latrine_max","access_sewer_exclusive","access_septic_exclusive","access_latrine_exclusive_min","access_latrine_exclusive_max","access_water_piped_house_daily","access_water_piped_plot_daily","hygiene_defecation","access_latrines_unimproved_min","access_latrines_unimproved_exclusive_min","access_water","year"
"BOL","country","total","all",11513100,1,NA,NA,NA,NA,0.359548106759161,0.300844527393811,0.193533513188925,0.193533513188925,0.578852866562543,0.656250331877167,0.473786786263802,0.128312628541927,0.154948151421914,0.154948151421914,0.352642905348129,0.0898158333739399,0.126521982730045,0.126521982730045,0.304883814608015,0.270143821442456,0.144411798365962,0.0985406354063949,0.0872696104250529,0.853926147341897,2018
"BOL","urban","total","all",NA,0.697729977156457,NA,NA,NA,NA,0.500912451854323,0.369040115212753,0.0607087614827453,0.0607087614827453,0.767729927527907,0.711035631450894,0.671475947036783,0.154091240895762,0.109991774811949,0.109991774811949,0.498575782991579,0.0990526444775344,0.0826960732126987,0.0826960732126987,0.428134469675919,0.334596129159014,0.0226836729588602,0.0417573642966461,0.0307111307690818,0.930661328549821,2018
"BOL","rural","total","all",NA,0.302270022843543,NA,NA,NA,NA,0.0560625842591649,0.154440046210854,0.478685961957717,0.478685961957717,0.173365517565524,0.538635488790255,0.0493813379919173,0.0729702744691114,0.251461946580073,0.251461946580073,0.0393495102438904,0.0699859502296361,0.220608854776571,0.220608854776571,0.0402853444168951,0.131775534371746,0.405741652914861,0.220444788044037,0.208691173540158,0.689188592427735,2018
"BOL","country","1","all",NA,0.2,298.011077955291,525,1071.14676574579,5106.66674804688,0.149206532169078,0.174727423759226,0.393613219738088,0.393613219738088,0.270125868178717,0.514139669579918,0.17509001652556,0.0806004058351162,0.202820434958791,0.202820434958791,0.135059606961826,0.0655684250266926,0.176342533857231,0.176342533857231,0.117516672524448,0.150907989984728,0.392994628409057,0.148494514271476,0.137169103734168,0.717547175666393,2018
"BOL","country","2","all",NA,0.2,734.121316726131,950,2776.11579370576,9867.5,0.276025485763509,0.333374837710149,0.228113022472143,0.228113022472143,0.542353414161464,0.605609891967373,0.38254271027028,0.117800315419273,0.19460194959316,0.19460194959316,0.255943301719485,0.079047914439151,0.154044855536051,0.154044855536051,0.234950030443494,0.303263889071683,0.176838675948267,0.12821634876902,0.116573820272686,0.837513345945801,2018
"BOL","country","3","all",NA,0.2,1193.45070836541,1486.53334960937,4265.51044216118,14200,0.370931587436454,0.35636770025769,0.1571954817818,0.1571954817818,0.643551126737186,0.685690448814661,0.516117097514268,0.150549330436235,0.166621059127219,0.166621059127219,0.364991937964568,0.103459915574659,0.139212853968245,0.139212853968245,0.316715824326456,0.321491317045522,0.0754074416266704,0.0913050712956072,0.0780257413071894,0.884494769475944,2018
"BOL","country","4","all",NA,0.2,1901.34118805004,2400,5760.62702026632,21432.5002441406,0.463725931169026,0.337818289732475,0.10693980664791,0.10693980664791,0.702772790898402,0.727844464582228,0.60776391611418,0.158090025648874,0.115335072693446,0.115335072693446,0.46030406156493,0.113574658102862,0.0940786977644885,0.0940786977644885,0.397275683148317,0.299955340209914,0.0476648612255577,0.0711461243179421,0.0598870471499475,0.908484027549411,2018
"BOL","country","5","all",NA,0.2,4040.56654567562,40820,8332.33349474145,66480.7504882812,0.537870407166321,0.301941614877972,0.081790028566224,0.081790028566224,0.735484737322458,0.747981692685771,0.687447104036197,0.134528490440703,0.0953567476180011,0.0953567476180011,0.546936789411691,0.0874319182032782,0.0689268458426649,0.0689268458426649,0.457977845896553,0.275106975440726,0.0291325988999732,0.0535350590051262,0.0446861392281367,0.921602050610516,2018
"BOL","urban","1","all",NA,0.0465176627479695,348.063553449446,525,1503.92217672748,5106.66674804688,0.427292051698226,0.392859966873641,0.0941725284715567,0.0941725284715567,0.714530457310583,0.698374727499012,0.570004480937671,0.151176255281554,0.153783648344015,0.153783648344015,0.428518164032722,0.0970766973429765,0.117668929045991,0.117668929045991,0.358513860800133,0.35028123529145,0.0478735038545003,0.0771621115822594,0.0551109370773233,0.914324547043423,2018
"BOL","urban","2","all",NA,0.103002279725523,749.145290045148,950,3105.10857803522,9867.5,0.407352402639762,0.42804720792975,0.0779194533870931,0.0779194533870931,0.744538760247754,0.649183025141767,0.577250943420417,0.153504088590103,0.169260327037604,0.169260327037604,0.382432860639718,0.0937872309637563,0.125198249858331,0.125198249858331,0.34639196637493,0.391732921261029,0.0374032068558977,0.0625814340959781,0.0477646836799618,0.913319063956606,2018
"BOL","urban","3","all",NA,0.145590223267349,1197.88112591879,1486.53334960937,4455.40295601871,14200,0.451781759485909,0.399743965512596,0.0608465751915084,0.0608465751915084,0.757562905273012,0.685522485786496,0.636219254089858,0.163721551362406,0.12371016159887,0.12371016159887,0.447702749687326,0.104774092122605,0.0941152615715277,0.0941152615715277,0.386174298726155,0.366473081936344,0.025030891202064,0.0513181417468023,0.0389303824050371,0.912372300190013,2018
"BOL","urban","4","all",NA,0.161109951086326,1907.42393099419,2400,5985.37263095537,21432.5002441406,0.531131670445267,0.353308766875003,0.0545597741342429,0.0545597741342429,0.776381723855873,0.737560036634699,0.702933873548606,0.163323954695837,0.0921079531944153,0.0921079531944153,0.532504146241377,0.112831852989544,0.0720364403171267,0.0720364403171267,0.456789889996588,0.313388655072753,0.0137865071751475,0.0278477113859942,0.0201875970866503,0.939000211454513,2018
