"iso","scope","quintile","gender","population","population_perc","ave_income_pc","max_income_pc","ave_hh_income","max_hh_income","access_water_piped_house","access_water_piped_plot","access_water_other_min","access_water_other_max","access_water_daily","access_san_exclusive","access_sewer","access_septic","access_latrine_min","access_latrine_max","access_sewer_exclusive","access_septic_exclusive","access_latrine_exclusive_min","access_latrine_exclusive_max","access_water_piped_house_daily","access_water_piped_plot_daily","hygiene_defecation","access_latrines_unimproved_min","access_latrines_unimproved_exclusive_min","access_water"
"PER","country","total","all",32510453,1,NA,NA,NA,NA,0.834520226419871,0.0413694705982521,0.03513656639811,0.0540902747924739,0.808004199467514,NA,0.711811998129554,0.0813429808455199,0.0333785538389439,0.114581308105953,NA,NA,NA,NA,0.75990127444,0.0370883804310574,NA,NA,NA,0.929979971810597
"PER","urban","total","all",NA,0.780990009582456,NA,NA,NA,NA,0.87588799594072,0.0524926458358993,0.0161243801135179,0.0280383818592516,0.859303153279059,NA,0.865897971267345,0.0316263185884108,0.0155946990783483,0.0554014950734966,NA,NA,NA,NA,0.802810578334968,0.0471475485525134,NA,NA,NA,0.956419023635871
"PER","rural","total","all",NA,0.219009990417544,NA,NA,NA,NA,0.696496710380844,0.00425700904664415,0.0985707043509867,0.141012385985908,0.636845298318045,NA,0.197704323698275,0.247222568020084,0.0927143650566042,0.312034687098386,NA,NA,NA,NA,0.616734430711921,0.00352597741459067,NA,NA,NA,0.841766105413396
"PER","country","1","all",NA,0.2,195.503388443447,298.233383178711,782.838892888948,5674.60247421265,0.736472315727218,0.0355029104147857,0.0703941345294612,0.101578607543461,0.696431679476011,NA,0.404694301444586,0.178454133274437,0.0625955000607384,0.223012570461366,NA,NA,NA,NA,0.652077290325459,0.0300842655702031,NA,NA,NA,0.873553833685465
"PER","country","2","all",NA,0.2,392.748753708112,491.549607849121,1528.37428709576,6939.8286190033,0.789992122469635,0.0462153942318335,0.0491991196832556,0.0702989875943378,0.753801732001985,NA,0.623794389557217,0.106355303698316,0.0418644449861375,0.148498448689247,NA,NA,NA,NA,0.69483794878809,0.040976358484395,NA,NA,NA,0.906506504295806
"PER","country","3","all",NA,0.2,604.454853534403,737.338775157928,2310.78803205324,9001.66679537296,0.85246430283191,0.0425735841826262,0.0268660557522761,0.0449858978690544,0.819541868444054,NA,0.768953830979079,0.0640320535293124,0.0265569799046465,0.092782218896838,NA,NA,NA,NA,0.770127606459587,0.0374645243007096,NA,NA,NA,0.94002378488359
"PER","country","4","all",NA,0.2,933.946063448465,1196.33129501343,3226.05006279017,15117.0765218735,0.877212121946379,0.0452593992184644,0.0175932149574883,0.0307033975661086,0.855844866246038,NA,0.841405365836173,0.0405791643916837,0.0223017226989659,0.0710154979378989,NA,NA,NA,NA,0.807070238456383,0.0422607830672767,NA,NA,NA,0.953174918730952
"PER","country","5","all",NA,0.2,2314.19639657545,37375.4166259766,5903.86146148112,50562.6303100586,0.916468110823147,0.0372955826883704,0.011627982996263,0.0228815495063958,0.914410562852519,NA,0.920231455708974,0.0172883863237916,0.0135721965027466,0.0375905082615865,NA,NA,NA,NA,0.875403991592442,0.0346555883857959,NA,NA,NA,0.976645243017913
"PER","urban","1","all",NA,0.0804227248512386,208.884977646404,298.208011627197,880.755987847552,5674.60247421265,0.812425080436575,0.0789218314214022,0.0178628734777333,0.0349978916741297,0.789127460499262,NA,0.747709490054886,0.0458552383881853,0.0277486112272618,0.113719520592444,NA,NA,NA,NA,0.709641553472838,0.0671605782524662,NA,NA,NA,0.926344803532107
"PER","urban","2","all",NA,0.126970765117724,397.876415716209,491.543319320679,1641.47809309579,6939.8286190033,0.82538071647729,0.0636765969265152,0.0271493226647845,0.0403054185805904,0.800507750450378,NA,0.797980036769678,0.0489796095819899,0.0204909766306584,0.0733339624573914,NA,NA,NA,NA,0.726091345160131,0.056381380845418,NA,NA,NA,0.929362731984396
"PER","urban","3","all",NA,0.158151950718214,606.241809438163,737.338775157928,2407.9705408013,9001.66679537296,0.874966312923925,0.049469860616158,0.0181351543639234,0.0318030358813985,0.848138008666525,NA,0.860191588212052,0.0382136702783881,0.0137524708119059,0.0526452882422101,NA,NA,NA,NA,0.793898966352814,0.0435211596433784,NA,NA,NA,0.956239209421481
"PER","urban","4","all",NA,0.175939761359593,935.892956472895,1196.33129501343,3313.747195483,15117.0765218735,0.892499254774076,0.0490585804156442,0.0121755641443325,0.0220779508972069,0.876058257051266,NA,0.892809621562814,0.027730262201436,0.0145619838866145,0.0482133304644708,NA,NA,NA,NA,0.824259665686578,0.0459361214357777,NA,NA,NA,0.963635786086927
"PER","urban","5","all",NA,0.189047974706065,2329.96428956582,37375.4166259766,5988.56370334642,50562.6303100586,0.926146731374238,0.0384743003483533,0.00925508041696462,0.0183058195802855,0.927555929180874,NA,0.94768059765556,0.0104531643135596,0.00920654752642714,0.0255876426831967,NA,NA,NA,NA,0.88797542936627,0.0358252172234671,NA,NA,NA,0.982926851302876
"PER","rural","1","all",NA,0.119577275148761,185.572109106569,298.233383178711,710.168748323856,3811.55054855347,0.680103217012833,0.00327912694015281,0.109380731675031,0.150992147125259,0.627636584907676,NA,0.150122172289091,0.276863720125732,0.0884574647181152,0.3041254929525,NA,NA,NA,NA,0.609355400685336,0.00256771186015196,NA,NA,NA,0.834374491078245
