"iso","scope","quintile","gender","population","population_perc","ave_income_pc","max_income_pc","ave_hh_income","max_hh_income","access_water_piped_house","access_water_piped_plot","access_water_other_min","access_water_other_max","access_water_daily","access_san_exclusive","access_sewer","access_septic","access_latrine_min","access_latrine_max","access_sewer_exclusive","access_septic_exclusive","access_latrine_exclusive_min","access_latrine_exclusive_max","access_water_piped_house_daily","access_water_piped_plot_daily","hygiene_defecation","access_latrines_unimproved_min","access_latrines_unimproved_exclusive_min","access_water"
"HND","country","total","all",9746117,1,NA,NA,NA,NA,0.476392211073003,0.381789171128857,0.00293690262543772,0.05163340102176,NA,0.846132964733009,0.374669958083831,0.225858852902393,0.263636775008589,0.263636775008589,0.341680580534629,0.211703503362014,0.232499342989375,0.232499342989375,NA,NA,0.0628336319455929,0.0730007820595941,0.0602495378469911,0.90981478322362
"HND","urban","total","all",NA,0.577299964693631,NA,NA,NA,NA,0.62445907165376,0.313358838958622,0.000918668277432544,0.0148421777904263,NA,0.896764548735638,0.636842587963834,0.197391462672263,0.0937952676466055,0.0937952676466055,0.580856195805894,0.182418896770954,0.0833291119131265,0.0833291119131265,NA,NA,0.0116155224153856,0.0603551593019114,0.0501603442456625,0.952660088402809
"HND","rural","total","all",NA,0.422700035306369,NA,NA,NA,NA,0.282817502436417,0.471251334099033,0.00557167347811657,0.0996637215344056,NA,0.780034287001683,0.0324080179574314,0.263022550024244,0.485361994190739,0.485361994190739,0.0294408545527949,0.249934062640006,0.427238560125155,0.427238560125155,NA,NA,0.129698008846564,0.0895094289810214,0.0734208096837276,0.853732558069855
"HND","country","1","all",NA,0.2,396.128538006033,760,1875.09814457869,10900,0.259100005548512,0.481481553713435,0.00528874123680084,0.102379905203394,NA,0.742132678685101,0.136607469857161,0.145167959816406,0.457132524958086,0.457132524958086,0.119063630408896,0.136511680858986,0.40999663411214,0.40999663411214,NA,NA,0.166612885839078,0.0944791595292689,0.0765607333050794,0.842961464465341
"HND","country","2","all",NA,0.2,1144.94001509549,1554.33333333333,5022.47178402592,17300,0.306932620094057,0.500403198436556,0.00436643103059347,0.0619754153511404,NA,0.786703551949817,0.169432747447833,0.230946334783433,0.416097828714262,0.416097828714262,0.145020370451019,0.215037654178203,0.355014186970314,0.355014186970314,NA,NA,0.0905988134858391,0.0929242755686333,0.0716313403502802,0.869311233881754
"HND","country","3","all",NA,0.2,2050.87488353914,2660,8881.44288644109,29266.6665039062,0.456366624146431,0.409023706960945,0.00273104410380818,0.048196875330786,NA,0.876054087087736,0.379091724161244,0.255323731281993,0.240267473012556,0.240267473012556,0.343481665445586,0.234981397059858,0.219464732195512,0.219464732195512,NA,NA,0.0327307563420211,0.0925863152021857,0.0781262923867804,0.913587206438162
"HND","country","4","all",NA,0.2,3591.70700894597,4821,14162.6963261997,59566.6666717529,0.585063751377515,0.336958050207508,0.000712960025793379,0.0249556331068999,NA,0.895691222631759,0.497556684096371,0.285114844701347,0.144288396003299,0.144288396003299,0.452307088282772,0.267607377660251,0.125342068645495,0.125342068645495,NA,NA,0.015426319611585,0.0576137555873972,0.0504346880432412,0.946977434691923
"HND","country","5","all",NA,0.2,10121.4947204669,253339.812505086,29421.2415551258,787394.375,0.770441561339841,0.1830793627739,0.00158674931426464,0.0206212162982721,NA,0.930238141487417,0.691340846720439,0.212572969064146,0.0600567482453288,0.0600567482453288,0.64921123938634,0.204234229463015,0.0523795731596714,0.0523795731596714,NA,NA,0.00872518741578678,0.0273042485543001,0.0244130994783905,0.974142140412013
"HND","urban","1","all",NA,0.0515080775253161,332.41234842182,760,1526.3047830841,7387.916015625,0.518738891869454,0.391789978101418,0,0.0341216590409773,NA,0.879945889015033,0.600623345080073,0.169475449299159,0.147185976523356,0.147185976523356,0.533588353073551,0.155374377708484,0.13466027707261,0.13466027707261,NA,NA,0.0206603646797365,0.0620548644176748,0.0563228811603885,0.944650529011849
"HND","urban","2","all",NA,0.0694743939361935,1189.40640022133,1553.42442830404,5451.34324972925,13966.3333435059,0.392625416916986,0.5025880425889,0.00118517163892692,0.0206627453034006,NA,0.83289026398604,0.421151660213348,0.257192023608166,0.192737276367903,0.192737276367903,0.357347526847763,0.238332756308904,0.17040730824334,0.17040730824334,NA,NA,0.0355753825391326,0.0933436572714508,0.0668026725860321,0.915876204809287
"HND","urban","3","all",NA,0.125425630048655,2067.74498334084,2660,9050.00418179059,26400,0.533341590727636,0.36654162741064,0.0020254247944258,0.0254945357204555,NA,0.885619443960751,0.565011874284768,0.216614543045322,0.111434621991466,0.111434621991466,0.51067644748943,0.194627174682438,0.102983963553663,0.102983963553663,NA,NA,0.0126589890940562,0.0942799715843883,0.0773318582352189,0.925377753858731
"HND","urban","4","all",NA,0.144241513893195,3613.94402477411,4821,14580.0461385912,59566.6666717529,0.638050472984554,0.319476180448505,0,0.00735768694088834,NA,0.903061278046239,0.637880771222262,0.212260550071276,0.0932381582966934,0.0932381582966934,0.579448860737506,0.195140347754273,0.0813813536904402,0.0813813536904402,NA,NA,0.00305232939347289,0.0535681910162948,0.0470907158640191,0.964884340373947
"HND","urban","5","all",NA,0.171386222465781,10458.9259100919,253339.812505086,30239.2737113803,787394.375,0.803498715243299,0.169630820297055,0.00101207634717084,0.00630528276159505,NA,0.930910657042673,0.790672512819475,0.151082822356515,0.0258271039484287,0.0258271039484287,0.741640329183534,0.144716444653615,0.0206480066002779,0.0206480066002779,NA,NA,0.00598149340240692,0.026436067473174,0.0239058766052469,0.979434818301948
