"iso","scope","quintile","gender","population","population_perc","ave_income_pc","max_income_pc","ave_hh_income","max_hh_income","access_water_piped_house","access_water_piped_plot","access_water_other_min","access_water_other_max","access_water_daily","access_san_exclusive","access_sewer","access_septic","access_latrine_min","access_latrine_max","access_sewer_exclusive","access_septic_exclusive","access_latrine_exclusive_min","access_latrine_exclusive_max","access_water_piped_house_daily","access_water_piped_plot_daily","hygiene_defecation","access_latrines_unimproved_min","access_latrines_unimproved_exclusive_min","access_water_ub","access_water_lb","year"
"CRI","country","total","all",5047561,1,NA,NA,NA,NA,0.94230221235793,0.0123786769908756,0,0.0416293927462016,NA,0.988921881333498,0.231743356490657,0.7516810884988,0,0.0108463106342895,0.229427837583254,0.748018265448372,0,0.0101732989164575,NA,NA,0.00621719388052409,-0.000487949504270224,0.00130247938541406,0.996310282095007,0.954680889348805,2018
"CRI","urban","total","all",NA,0.800760010626915,NA,NA,NA,NA,0.978628865915634,0.00991925204122466,0,0.00792109119722696,NA,0.990202651670743,0.296418592612812,0.694009315917003,0,0.004680925867526,0.293766745197391,0.690344254315877,0,0.00429489744629391,NA,NA,0.00428959728490399,0.000601568317755374,0.00179675471118113,0.996469209154085,0.988548117956858,2018
"CRI","rural","total","all",NA,0.199239989373085,NA,NA,NA,NA,0.846576783768936,0.018859579698135,0,0.130455125280496,NA,0.985546885911414,0.061315747818881,0.903653665304146,0,0.0270928965819049,0.0598864980120858,0.899996741124219,0,0.0256636467751096,NA,NA,0.0112966601178782,-0.00335896982281025,0,0.995891488747567,0.865436363467071,2018
"CRI","country","1","all",NA,0.2,49501.5777164195,80626.1510416667,180365.508171558,984941.6640625,0.882164269640622,0.0200639562613436,0,0.0875861472914619,NA,0.977599303459336,0.159164023162538,0.793675436378245,0,0.0332137221071635,0.155502063053575,0.787030131145547,0,0.0321669905025912,NA,NA,0.0129352979023755,0.00101152044967845,0.00290011875762242,0.989814373193428,0.902228225901966,2018
"CRI","country","2","all",NA,0.2,106593.777048524,135000,363985.39731648,1190345.47753906,0.931685390380632,0.0157099910676839,0,0.048071228017378,NA,0.985833154580293,0.174650791262338,0.805922221617486,0,0.0121562739115541,0.171670151016971,0.801366420254267,0,0.0107219808611521,NA,NA,0.00527935098239469,0.00199136222622764,0.00207460244790292,0.995466609465694,0.947395381448316,2018
"CRI","country","3","all",NA,0.2,173410.002809436,219583.3359375,562385.558807682,1754220,0.949638537244431,0.0121725544435266,0,0.0352049996478219,NA,0.990343917884883,0.209568357761684,0.782376369492415,0,0.00513219483770995,0.207589757381332,0.776994448393108,0,0.00464875040820639,NA,NA,0.00528907415589322,-0.00236599624770295,0.00111096170223668,0.997016091335779,0.961811091687957,2018
"CRI","country","4","all",NA,0.2,298420.000133056,405000,881996.511468114,3466967.70703125,0.968299111875502,0.00944813295284581,0,0.0215097155631568,NA,0.993520822724201,0.272634683935932,0.721510676390237,0,0.00243089251227457,0.269678539286618,0.720985424253197,0,0.00243089251227457,NA,NA,0.00601477752048964,-0.00259103035893293,0.000425966672111255,0.999256960391505,0.977747244828348,2018
"CRI","country","5","all",NA,0.2,834964.252559306,21090732.671875,1946613.05338879,21090732.671875,0.979747945977446,0.00449547570714089,0,0.0157565783154133,NA,0.997316802961122,0.342738397894427,0.654892191832579,0,0.0012903680270497,0.342738397894427,0.653688275261436,0,0.000890129805260091,NA,NA,0.00156573192364095,-0.000486689677696273,0,1,0.984243421684587,2018
"CRI","urban","1","all",NA,0.111038135283221,49697.6397168733,80582.4,183152.856376857,984941.6640625,0.946520497340562,0.0197248778596797,0,0.0202835593713123,NA,0.975970994168049,0.224914915086111,0.739859645522282,0,0.0208365400511935,0.21909436586798,0.73087513468215,0,0.0208365400511935,NA,NA,0.00928095409120191,0.00510794524921188,0.00516495356672531,0.986528934571554,0.966245375200242,2018
"CRI","urban","2","all",NA,0.12395739083019,107306.054292145,135000,376951.266291796,1190345.47753906,0.976712762270254,0.0108198252954857,0,0.00653509410836904,NA,0.986904696125659,0.244445672321038,0.742991475745809,0,0.00466648918268627,0.241632718669473,0.738787114663023,0,0.00322987356777963,NA,NA,0.00461123473595909,0.00328512801450676,0.00325498922538292,0.994067681674109,0.98753258756574,2018
"CRI","urban","3","all",NA,0.144448824138257,173460.151526748,219583.3359375,575645.276326453,1754220,0.978447024987764,0.00976294326317932,0,0.0103563430977204,NA,0.990665863916526,0.260836044058855,0.734520710520503,0,0.00179752504623754,0.25867901400337,0.729340373278816,0,0.00114348581254629,NA,NA,0.00342179466633171,-0.000576074291926743,0.00150299082179384,0.998566311348663,0.988209968250943,2018
"CRI","urban","4","all",NA,0.160192750013765,299853.257742446,405000,899075.549665781,3466967.70703125,0.987464939648924,0.00958447574926728,0,0.00246998203649428,NA,0.99448094922946,0.322862500393937,0.674848728372885,0,0.000527874948788251,0.319226466231761,0.674202672465412,0,0.000527874948788251,NA,NA,0.00406148561343796,-0.00230058932904731,0.000523935583498836,0.999519397434685,0.997049415398191,2018
"CRI","urban","5","all",NA,0.171250154567062,833916.635282102,21090732.671875,1984588.17925024,21090732.671875,0.992603398478162,0.00340141041242101,0,0.00399519110941692,NA,0.997386631870629,0.385821836468398,0.612334511120559,0,0.000608441948773586,0.385821836468398,0.610956353453458,0,0.000608441948773586,NA,NA,0.00179233802982099,-0.000557127567551774,0,1,0.996004808890583,2018
"CRI","rural","1","all",NA,0.0889618647167791,49250.520516624,80626.1510416667,176796.311521223,684982.875,0.799756183023331,0.0204981458229918,0,0.173767045288638,NA,0.979684351914036,0.0749700703711274,0.862586503927351,0,0.0490626916226239,0.0740721815049493,0.85893654918679,0,0.0466756212222968,NA,NA,0.0176146815779484,-0.00423394749905093,0,0.994021374134961,0.820254328846322,2018
"CRI","rural","2","all",NA,0.0760426091698098,105341.905931874,135000,341197.084173221,1049631.140625,0.852547011565286,0.0243047585415379,0,0.121073541096495,NA,0.983949854330361,0.0519819899355522,0.916526882669727,0,0.0253200317824667,0.0487066301756864,0.911353403372473,0,0.0238898207822018,NA,NA,0.00645360642712104,-0.000282510814867187,0,0.99792531120332,0.876851770106824,2018
"CRI","rural","3","all",NA,0.0555511758617431,173267.887590004,219154.4375,524809.170700409,1593966.625,0.867998870736108,0.0190010924400692,0,0.105622997704648,NA,0.989431562925775,0.0642821195792265,0.917993347162725,0,0.0145822337330764,0.0628091666768955,0.912040162515804,0,0.0145822337330764,NA,NA,0.010580711681744,-0.00743841215677143,0,0.992622960880826,0.886999963176177,2018
