"iso","scope","quintile","gender","population","population_perc","ave_income_pc","max_income_pc","ave_hh_income","max_hh_income","access_water_piped_house","access_water_piped_plot","access_water_other_min","access_water_other_max","access_water_daily","access_san_exclusive","access_sewer","access_septic","access_latrine_min","access_latrine_max","access_sewer_exclusive","access_septic_exclusive","access_latrine_exclusive_min","access_latrine_exclusive_max","access_water_piped_house_daily","access_water_piped_plot_daily","hygiene_defecation","access_latrines_unimproved_min","access_latrines_unimproved_exclusive_min","access_water","year"
"CHL","country","total","all",18952038,1,NA,NA,NA,NA,0.917757662282434,0.0185582013138892,0,0.0384277374762172,NA,NA,0.868698067826284,0.0838707194357843,0.0409182036334917,0.0409182036334917,NA,NA,NA,NA,NA,NA,0.00559189906415082,0.000921110040289275,NA,0.97474360107254,2017
"CHL","urban","total","all",NA,0.876430017711024,NA,NA,NA,NA,0.976988989553868,0.0183236080056716,0,0.00246195820124513,NA,NA,0.970147670070729,0.0172744107305021,0.00865854497084773,0.00865854497084773,NA,NA,NA,NA,NA,NA,0.00347796053437534,0.000441413693546,NA,0.997774555760785,2017
"CHL","rural","total","all",NA,0.123569982288976,NA,NA,NA,NA,0.508840733121989,0.0201777695325502,0,0.286725668545487,NA,NA,0.168317682557524,0.543633471744029,0.263630088775638,0.263630088775638,NA,NA,NA,NA,NA,NA,0.0201859541334963,0.00423280278931204,NA,0.815744171200026,2017
"CHL","country","1","all",NA,0.2,75328.4969116739,113177,264639.442561769,1487700,0.850296538613875,0.0267139310587632,0,0.0668685298018502,NA,NA,0.780279254550334,0.123285508050508,0.0835727186201053,0.0835727186201053,NA,NA,NA,NA,NA,NA,0.0117191646007191,0.001143354178334,NA,0.943878999474489,2017
"CHL","country","2","all",NA,0.2,143723.116155582,175000,483094.885747542,2591870,0.906429176039367,0.0191293678507547,0,0.0451063073417254,NA,NA,0.840018257890109,0.102805899472885,0.0494421248180467,0.0494421248180467,NA,NA,NA,NA,NA,NA,0.00684412024321995,0.00088959757573881,NA,0.970664851231847,2017
"CHL","country","3","all",NA,0.2,214489.099028788,262186.25,672528.403513814,3006755,0.925793400098733,0.0164125853123026,0,0.0375771133458303,NA,NA,0.872365545739822,0.0875406927169099,0.0352132246583193,0.0352132246583193,NA,NA,NA,NA,NA,NA,0.0037395873249307,0.00114094956001809,NA,0.979783098756866,2017
"CHL","country","4","all",NA,0.2,337057.175297315,442500,941576.553540657,6101922,0.942109836590394,0.0169682974836629,0,0.0268589924469331,NA,NA,0.905840791048498,0.0649021846337846,0.0246067926690466,0.0246067926690466,NA,NA,NA,NA,NA,NA,0.00393919233182065,0.000711039316849904,NA,0.98593712652099,2017
"CHL","country","5","all",NA,0.2,1027623.11545942,48898332,2317282.72407038,87050000,0.964167449856437,0.0135657961393707,0,0.0157242067344827,NA,NA,0.944998934171497,0.04081303296819,0.0117508671183708,0.0117508671183708,NA,NA,NA,NA,NA,NA,0.00171654485153052,0.000720620890411361,NA,0.99345745273029,2017
"CHL","urban","1","all",NA,0.155322366341543,75071.1491008338,113177,268386.726124682,1487700,0.964313743187955,0.0273582527702226,0,0.00341881847130603,NA,NA,0.956539398415632,0.0216785672222705,0.0138667981653295,0.0138667981653295,NA,NA,NA,NA,NA,NA,0.00761914406258221,0.000296092134185799,NA,0.995090814429483,2017
"CHL","urban","2","all",NA,0.166979778563322,143988.44163943,175000,488765.313689358,2591870,0.976401826558854,0.0182491994976758,0,0.00291417672714906,NA,NA,0.964578156273623,0.0220391657157607,0.00866263359630919,0.00866263359630919,NA,NA,NA,NA,NA,NA,0.00430314813031748,0.000416896283989332,NA,0.997565202783679,2017
"CHL","urban","3","all",NA,0.174837043189747,214833.11388228,262166.8,679273.048662544,3006755,0.978830157988001,0.0164431679324828,0,0.00235154982260238,NA,NA,0.970595804536507,0.0190039408596025,0.00741415959106215,0.00741415959106215,NA,NA,NA,NA,NA,NA,0.00239280508264804,0.000593289930180374,NA,0.997624875743086,2017
"CHL","urban","4","all",NA,0.181476384646781,337668.807528386,442500,948081.704783931,6101922,0.978687046449952,0.0170191731519165,0,0.00283731647703966,NA,NA,0.9752278264946,0.0131403101200141,0.00857905451768455,0.00857905451768455,NA,NA,NA,NA,NA,NA,0.00266152005307918,0.000391288814621693,NA,0.998543536078908,2017
"CHL","urban","5","all",NA,0.189965466405777,1025480.57746628,48898332,2300649.18409588,79767502,0.984640346133045,0.0139234925987702,0,0.00101167562752521,NA,NA,0.981027218891883,0.0117847030645682,0.00558194072653399,0.00558194072653399,NA,NA,NA,NA,NA,NA,0.00111529738991324,0.000490839927101305,NA,0.99957551435934,2017
"CHL","rural","1","all",NA,0.0446776336584574,76262.3178306979,113176.75,251041.923433319,1098104,0.436569876582658,0.0243759236330231,0,0.297104285657227,NA,NA,0.140695770260015,0.491979869792707,0.336509965251428,0.336509965251428,NA,NA,NA,NA,NA,NA,0.0265966369772736,0.00421775771857646,NA,0.758050085872908,2017
"CHL","rural","2","all",NA,0.0330202214366782,142305.257458498,175000,452792.988406527,1840635,0.532506062215021,0.0238328525526989,0,0.270574583034556,NA,NA,0.17438926262665,0.534410938808576,0.26736147222876,0.26736147222876,NA,NA,NA,NA,NA,NA,0.0204226855475699,0.0034156407884437,NA,0.826913497802276,2017
"CHL","rural","3","all",NA,0.0251629568102531,211998.734036271,262186.25,623703.104272143,2432275,0.54185391660504,0.0161911940383412,0,0.292579213834689,NA,NA,0.161264861482451,0.58368650093862,0.236454007622732,0.236454007622732,NA,NA,NA,NA,NA,NA,0.013489106320041,0.00510552363615679,NA,0.85062432447807,2017
