"iso","scope","quintile","gender","population","population_perc","ave_income_pc","max_income_pc","ave_hh_income","max_hh_income","access_water_piped_house","access_water_piped_plot","access_water_other_min","access_water_other_max","access_water_daily","access_san_exclusive","access_sewer","access_septic","access_latrine_min","access_latrine_max","access_sewer_exclusive","access_septic_exclusive","access_latrine_exclusive_min","access_latrine_exclusive_max","access_water_piped_house_daily","access_water_piped_plot_daily","hygiene_defecation","access_latrines_unimproved_min","access_latrines_unimproved_exclusive_min","access_water_ub","access_water_lb","year"
"MEX","country","total","all",127575529,1,NA,NA,NA,NA,0.741048924187774,0.187964317441525,0.00565949143840673,0.0457653570094971,0.652721364089459,0.905101244162511,0.765568666959199,0.175171503272805,NA,NA,0.710996039754763,0.156528982249957,NA,NA,0.55684764271898,0.0958737213704789,0.019753362933143,NA,NA,0.974778598638795,0.934672733067705,2018
"MEX","urban","total","all",NA,0.804440003537042,NA,NA,NA,NA,0.841879890382454,0.120562196916749,0.00191495751805518,0.0176960293111853,0.698927645496334,0.924177367850323,0.895696416658948,0.0860586055293425,NA,NA,0.834943745690288,0.0784993361757548,NA,NA,0.640463993967105,0.0584636515292284,0.00855574486319794,NA,NA,0.980138116610389,0.964357044817259,2018
"MEX","rural","total","all",NA,0.195559996462958,NA,NA,NA,NA,0.405305507048725,0.412397535940228,0.01812790924157,0.139229620557575,0.498865307777555,0.841582236119414,0.332273846948705,0.471896506797872,NA,NA,0.298279312861644,0.416349362831468,NA,NA,0.278424847061732,0.220440460715822,0.057038799109194,NA,NA,0.956932663546528,0.835830952230523,2018
"MEX","country","1","all",NA,0.2,1116.72919113296,1684.81376037598,4788.86962046424,23437.17237854,0.453707445225559,0.390659636059291,0.015468314778263,0.116544088654497,0.501019420800904,0.833137047340613,0.535414367789296,0.312400669789974,NA,NA,0.470371032331929,0.268072845703668,NA,NA,0.308682892207907,0.192336528592998,0.0479984009311209,NA,NA,0.960911169939347,0.859835396063113,2018
"MEX","country","2","all",NA,0.2,2166.92327099758,2667.2555847168,8835.49381393234,53392.3939056396,0.672042861429247,0.245107394618289,0.00587531416820348,0.0503069188598779,0.59994344432684,0.886849510822209,0.726360484133831,0.208788003289727,NA,NA,0.659710270898796,0.187300013455357,NA,NA,0.474113115663547,0.125830328663293,0.022886627461449,NA,NA,0.967457174907413,0.923025570215739,2018
"MEX","country","3","all",NA,0.2,3275.54531587669,3994.92425537109,12178.1492981055,59678.7648544312,0.778606665604838,0.1670047107475,0.00358489309131132,0.030491878237371,0.655795876912532,0.916004211055185,0.802353345053729,0.153609129535413,NA,NA,0.745947535616206,0.140376131771439,NA,NA,0.571090475962325,0.0847054009502067,0.0143495000271212,NA,NA,0.976103254589709,0.949196269443649,2018
"MEX","country","4","all",NA,0.2,5138.89615908453,6747.47106933594,16429.457448224,87617.3971557617,0.862132866493727,0.0985025139934577,0.00198252345268823,0.0191085956223568,0.713020446590251,0.932661994720275,0.85313724189161,0.120458954035365,NA,NA,0.803261246761703,0.111693333243136,NA,NA,0.658699534278268,0.054320912311983,0.00917424458213648,NA,NA,0.979743976109542,0.962617903939873,2018
"MEX","country","5","all",NA,0.2,15313.9167877722,2007045.73014323,35939.0420815059,6021137.19042969,0.938774602702219,0.0385315275941551,0.00138597854820078,0.0123722078418094,0.793840907622393,0.956857658089123,0.91059078432916,0.0805925443247625,NA,NA,0.875704447953563,0.0751955602635878,NA,NA,0.771672590162359,0.0221683174600342,0.00435667267866582,NA,NA,0.989678338138184,0.978692108844575,2018
"MEX","urban","1","all",NA,0.1019930031008,1207.62585311788,1684.64999103546,5263.84435036008,21527.1682548523,0.639862449773761,0.276365765338891,0.00295211827849522,0.0414900123802999,0.55387128664083,0.861305841847863,0.815642663398661,0.14077712202989,NA,NA,0.719615578743523,0.118722259511909,NA,NA,0.440463341144216,0.113407945496614,0.0206127677723562,NA,NA,0.957718227492952,0.919180333391147,2018
"MEX","urban","2","all",NA,0.141842124264131,2180.19730277098,2667.2555847168,9035.93622432478,53392.3939056396,0.762194005606421,0.185964312950168,0.00362915125243918,0.025204352527234,0.635864469726493,0.900096211301473,0.866901432006557,0.105746334282119,NA,NA,0.789811458704649,0.0956036719822042,NA,NA,0.542782361169032,0.0930821085574619,0.0130123756511977,NA,NA,0.973362671083823,0.951787469809028,2018
"MEX","urban","3","all",NA,0.158466820875108,3282.17124456103,3994.92425537109,12394.0224869866,59678.7648544312,0.842211139872093,0.124051155801252,0.00186948345882026,0.0155864558292977,0.686210419806198,0.928723909547557,0.896932788073219,0.084799430171822,NA,NA,0.836724881424316,0.0794121984679855,NA,NA,0.623564333254701,0.0626460865514962,0.00768818883268335,NA,NA,0.981848751502643,0.968131779132165,2018
"MEX","urban","4","all",NA,0.171128690695711,5153.81583741016,6746.63711802165,16555.9619043953,87015.7444190979,0.904791739316065,0.0693965362986217,0.000991222149445673,0.010712856009794,0.734990141875432,0.939822245821429,0.914977608033643,0.0736755199754983,NA,NA,0.862439671523461,0.0700603472023982,NA,NA,0.696039355930313,0.0389507859451191,0.00468279642827122,NA,NA,0.984901131624481,0.975179497764132,2018
"MEX","urban","5","all",NA,0.184024336572646,15307.6992411258,348564.333333333,35631.0512483633,1338812.64453125,0.95858402266402,0.0266237994668317,0.000888977736417243,0.00685546697138181,0.80729002286611,0.959699260126019,0.944068471089278,0.0526101421740644,NA,NA,0.907768676796948,0.0495951650588868,NA,NA,0.792283592162401,0.0150064307037098,0.00268455371165747,NA,NA,0.992063289102234,0.986096799867269,2018
