"iso","scope","quintile","gender","population","population_perc","ave_income_pc","max_income_pc","ave_hh_income","max_hh_income","access_water_piped_house","access_water_piped_plot","access_water_other_min","access_water_other_max","access_water_daily","access_san_exclusive","access_sewer","access_septic","access_latrine_min","access_latrine_max","access_sewer_exclusive","access_septic_exclusive","access_latrine_exclusive_min","access_latrine_exclusive_max","access_water_piped_house_daily","access_water_piped_plot_daily","hygiene_defecation","access_latrines_unimproved_min","access_latrines_unimproved_exclusive_min","access_water","year"
"ARG","country","total","all",44938712,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018
"ARG","urban","total","all",NA,0.919910009881903,NA,NA,NA,NA,0.87710272326742,0.0194718897853155,0.10048413134711,0.102160678626952,NA,0.97180509745748,0.70029680507295,0.207033547175167,0,0.0873036507928036,0.685641721018481,0.202080914101678,0,0.082598382510928,NA,NA,0.00378955018275694,0.00157644677632263,0.00148407982639376,0.998735291679688,2018
"ARG","rural","total","all",NA,0.0800899901180968,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018
"ARG","country","1","all",NA,0.2,800.451152809074,2833.33333333333,3742.74303029907,51000,0.824578659181488,0.0345372576058104,0.138159922708345,0.139538886002433,NA,0.960875456522899,0.639870011469576,0.236467152680428,0,0.112624594126226,0.624657301479935,0.230064667496659,0,0.10359053286148,NA,NA,0.00849707160914995,0.00254117011461952,0.00256295468482626,0.998654802789732,2018
"ARG","country","2","all",NA,0.2,4518.02241689069,6200,17685.6932101078,74630,0.837191346260653,0.0315950131879573,0.124781380477467,0.127723351287541,NA,0.951937464470924,0.582560315029915,0.272128760636942,0,0.135863185016912,0.55797746177017,0.263474367881933,0,0.12745382036935,NA,NA,0.00619975562530084,0.00324798369092916,0.00303181444947087,0.996509710736152,2018
"ARG","country","3","all",NA,0.2,7935.14071681864,10000,23788.7053762949,89700,0.867689176926085,0.0182779428217841,0.111346421377502,0.112600320065538,NA,0.975201457180613,0.672354965536851,0.218012783012342,0,0.10565213081072,0.658991303324738,0.212408912594219,0,0.103048466289081,NA,NA,0.00276217213163866,0.00121794850844881,0.00075277497257431,0.998567439813408,2018
"ARG","country","4","all",NA,0.2,12643.9271767077,16043.75,32477.7984305068,132800,0.908470373107223,0.00947239392089584,0.0806811628690871,0.0820572329718812,NA,0.982107276835137,0.748820102930261,0.19455627320791,0,0.0546006320011719,0.737962926155624,0.191734975541674,0,0.0516214157240105,NA,NA,0.00126607162208007,0.000756920238576875,0.00078795941382781,1,2018
"ARG","country","5","all",NA,0.2,29770.4005833867,1540000,55557.0122626134,3080000,0.947599552026774,0.00347255510332145,0.0474413669284202,0.0488728767027776,NA,0.988910156964938,0.857920476036919,0.113976067422585,0,0.0277640993907913,0.84866414209641,0.112695988286459,0,0.027265685599491,NA,NA,0.000221698812086562,0.000117658337618454,0.000284340982577791,0.999944983832873,2018
"ARG","urban","1","all",NA,0.2,800.451152809074,2833.33333333333,3742.74303029907,51000,0.824578659181488,0.0345372576058104,0.138159922708345,0.139538886002433,NA,0.960875456522899,0.639870011469576,0.236467152680428,0,0.112624594126226,0.624657301479935,0.230064667496659,0,0.10359053286148,NA,NA,0.00849707160914995,0.00254117011461952,0.00256295468482626,0.998654802789732,2018
"ARG","urban","2","all",NA,0.2,4518.02241689069,6200,17685.6932101078,74630,0.837191346260653,0.0315950131879573,0.124781380477467,0.127723351287541,NA,0.951937464470924,0.582560315029915,0.272128760636942,0,0.135863185016912,0.55797746177017,0.263474367881933,0,0.12745382036935,NA,NA,0.00619975562530084,0.00324798369092916,0.00303181444947087,0.996509710736152,2018
"ARG","urban","3","all",NA,0.2,7935.14071681864,10000,23788.7053762949,89700,0.867689176926085,0.0182779428217841,0.111346421377502,0.112600320065538,NA,0.975201457180613,0.672354965536851,0.218012783012342,0,0.10565213081072,0.658991303324738,0.212408912594219,0,0.103048466289081,NA,NA,0.00276217213163866,0.00121794850844881,0.00075277497257431,0.998567439813408,2018
"ARG","urban","4","all",NA,0.2,12643.9271767077,16043.75,32477.7984305068,132800,0.908470373107223,0.00947239392089584,0.0806811628690871,0.0820572329718812,NA,0.982107276835137,0.748820102930261,0.19455627320791,0,0.0546006320011719,0.737962926155624,0.191734975541674,0,0.0516214157240105,NA,NA,0.00126607162208007,0.000756920238576875,0.00078795941382781,1,2018
"ARG","urban","5","all",NA,0.2,29770.4005833867,1540000,55557.0122626134,3080000,0.947599552026774,0.00347255510332145,0.0474413669284202,0.0488728767027776,NA,0.988910156964938,0.857920476036919,0.113976067422585,0,0.0277640993907913,0.84866414209641,0.112695988286459,0,0.027265685599491,NA,NA,0.000221698812086562,0.000117658337618454,0.000284340982577791,0.999944983832873,2018
"ARG","rural","1","all",NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018
"ARG","rural","2","all",NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018
"ARG","rural","3","all",NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018
"ARG","rural","4","all",NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018
"ARG","rural","5","all",NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018
"ARG","country","total","male",NA,NA,NA,NA,NA,NA,0.870223957567315,0.0188080514932846,0.108046715673095,0.109585106592261,NA,0.975925334362549,0.68504748102773,0.219125809500702,0,0.0900812100284877,0.673200128527119,0.214841509762721,0,0.0863050233306697,NA,NA,0.00426481457714859,0.00148068486593178,0.00157867274203993,0.998617115652861,2018
"ARG","country","total","female",NA,NA,NA,NA,NA,NA,0.886655436961964,0.0203937785978897,0.0899817816514535,0.0918501901192128,NA,0.966083221582681,0.721473922159101,0.190240720532823,0,0.083446384924928,0.702919671185088,0.184359956267637,0,0.0774508778475601,NA,NA,0.00312953865063494,0.00170943373251342,0.00135271628239542,0.998899405679067,2018
