"iso","scope","quintile","gender","population","population_perc","ave_income_pc","max_income_pc","ave_hh_income","max_hh_income","access_water_piped_house","access_water_piped_plot","access_water_other_min","access_water_other_max","access_water_daily","access_san_exclusive","access_sewer","access_septic","access_latrine_min","access_latrine_max","access_sewer_exclusive","access_septic_exclusive","access_latrine_exclusive_min","access_latrine_exclusive_max","access_water_piped_house_daily","access_water_piped_plot_daily","hygiene_defecation","access_latrines_unimproved_min","access_latrines_unimproved_exclusive_min","access_water"
"BRA","country","total","all",211049527,1,NA,NA,NA,NA,0.845770899553377,0.0111047960594874,0.027412407850964,0.129847346760098,0.778493075850802,0.978245029114284,0.62295060315717,0.245685547849847,0,0.0919700262877365,0.62214273790592,0.242665214079697,0,0.0855409911976101,0.751564306029339,0.00794573248007536,0.00596667751803084,0.0334271451872148,0.0278960859310563,0.986723042372962
"BRA","urban","total","all",NA,0.868239998472017,NA,NA,NA,NA,0.925731373192104,0.00883114799525534,0.00332288867554354,0.0608409424427799,0.848108727024386,0.993626900360469,0.707992404962717,0.209246817487805,0,0.0573059113341312,0.707100733300053,0.207621415317549,0,0.0557128869232458,0.829065052519573,0.0066834095230789,0.00104421618882373,0.0244106500265232,0.0231918648196208,0.995403463630139
"BRA","rural","total","all",NA,0.131760001527983,NA,NA,NA,NA,0.307520748115156,0.0264097506101492,0.189569868333592,0.594360697966844,0.309878608208325,0.874702689369405,0.0504957311759549,0.490971140131368,0,0.325309878769719,0.0502520048246136,0.478560890184864,0,0.286327466216886,0.2298716917082,0.0164429998404105,0.0391019934475664,0.0941212564753915,0.059562328143042,0.92829119669215
"BRA","country","1","all",NA,0.2,245.937484620075,13750,1030.89771235996,61000,0.740381822158209,0.0227235731574476,0.0486326444782974,0.203040680977393,0.638533456081734,0.932439902719417,0.431930414575724,0.319232849655519,0,0.161523400591635,0.430080525399624,0.310726865247743,0,0.141901671429866,0.600199616937128,0.0148145968798659,0.0188497124208884,0.0684636227562329,0.0497308406421848,0.966146076293049
"BRA","country","2","all",NA,0.2,623.566908070984,5000,2122.15878014488,38000,0.827473494060433,0.0109580929896667,0.0294536096851273,0.14820455616072,0.741682742868763,0.982712427149532,0.566245920484598,0.282477781476963,0,0.108720393373304,0.56542262913495,0.279516224166543,0,0.103040142148773,0.713081459580757,0.00808138423778465,0.00416167219218917,0.0383942324729453,0.0347334316992655,0.98663614321082
"BRA","country","3","all",NA,0.2,1010.66938003446,3750,2618.09443986143,15000,0.846692757053399,0.010474362939657,0.0297396613818621,0.131750855204205,0.776521365584088,0.986413841466334,0.625122300617985,0.249842306692888,0,0.0915259682807387,0.624466010750482,0.247862859282879,0,0.0874833984394046,0.749524318314106,0.00781907390671359,0.00380510896853674,0.0297043154398511,0.0266015729935689,0.988917975197262
"BRA","country","4","all",NA,0.2,1596.14914735354,5000,3989.39539866747,25000,0.892551438740375,0.00602536626349349,0.0190193185888985,0.0966326027606934,0.840689521040758,0.994710826882839,0.704212927671985,0.21279077447294,0,0.0601216672198023,0.703719060392887,0.211858954843987,0,0.0589351618307281,0.82053657923164,0.00457954117206423,0.00162017606183981,0.0212544545734337,0.0201976498152368,0.995209407764562
"BRA","country","5","all",NA,0.2,4732.96406093808,116625,9865.10602791926,325000,0.925174137019182,0.00487655669255186,0.00967429996718356,0.0674978185047083,0.899034187683699,0.996998809104568,0.792548426889228,0.162665600448556,0,0.035794589413639,0.792370154099414,0.162184194007653,0,0.0347861134907166,0.878946501050829,0.00415711536431069,0.000827473498667381,0.00816390974990899,0.00765834750678462,0.997548512216442
"BRA","urban","1","all",NA,0.153030455093787,256.814523107662,13750,1089.79905519021,61000,0.877410991600729,0.0173562621952003,0.00525299291090379,0.0922499172203673,0.748740542234501,0.978753272756843,0.55866340720264,0.28518793170379,0,0.103105470017731,0.556411448724022,0.2803106008794,0,0.0975483793829073,0.722937486258895,0.0115872044439887,0.0039122998864649,0.0491308911893736,0.044482843770513,0.987017171016297
"BRA","urban","2","all",NA,0.170232913290587,626.032991235116,5000,2146.57245429748,38000,0.912834929900789,0.00949105545496891,0.00377501044238309,0.0732147844417618,0.8134904150997,0.994178194287576,0.65135823464293,0.245359281037384,0,0.0722328570842124,0.650396311193973,0.243665178467119,0,0.0707038114690064,0.792662371495796,0.00768285188004752,0.000903264423448887,0.0301463628120245,0.0294128931574779,0.99554076979752
"BRA","urban","3","all",NA,0.170823615252175,1011.23541554121,3750,2674.70042785332,15000,0.927197532503617,0.0088092539949221,0.00406672128459276,0.0598615728246085,0.844959106777299,0.995847287451059,0.710820668242245,0.208688440824861,0,0.0573722142638864,0.710073587239787,0.207364941943406,0,0.0563262649701229,0.826959443570024,0.00691980590652712,0.000262675869786801,0.0228560007992205,0.022082493297743,0.995868359323148
"BRA","urban","4","all",NA,0.181854300253987,1596.161743585,5000,4033.75820477671,25000,0.945772121520754,0.00561546871322902,0.00276503681762136,0.0466131125105243,0.886037983107418,0.998088123463294,0.760743800736521,0.182432938303644,0,0.0381848590588993,0.760206738483413,0.181856663212462,0,0.0380158407091703,0.870989260690246,0.0043677975627654,0.000323373424364442,0.0183150284765705,0.0180088810582484,0.998000702744507
"BRA","urban","5","all",NA,0.191213075704256,4795.97018001604,116625,10041.81263341,325000,0.956230890721364,0.00436009909122361,0.00124812378702926,0.0386581318525532,0.926154441946162,0.999108739198563,0.82661993682607,0.141794551969477,0,0.0249074379361633,0.826433271458148,0.141623492032545,0,0.0246730443291225,0.909557544540878,0.00378050231921528,0.000195408382955796,0.00648266488533422,0.00637893137874634,0.999249121665141
