"iso","scope","quintile","gender","population","population_perc","ave_income_pc","max_income_pc","ave_hh_income","max_hh_income","access_water_piped_house","access_water_piped_plot","access_water_other_min","access_water_other_max","access_water_daily","access_san_exclusive","access_sewer","access_septic","access_latrine_min","access_latrine_max","access_sewer_exclusive","access_septic_exclusive","access_latrine_exclusive_min","access_latrine_exclusive_max","access_water_piped_house_daily","access_water_piped_plot_daily","hygiene_defecation","access_latrines_unimproved_min","access_latrines_unimproved_exclusive_min","access_water_ub","access_water_lb","year"
"ECU","country","total","all",17373662,1,NA,NA,NA,NA,0.719707298491906,0.104460927875209,0.00809932550196142,0.117873604214379,NA,0.876092696426601,0.660549598412112,0.233203290217239,0.0612700005040314,0.0612700005040314,0.604606064040488,0.206740786924476,0.0560413648508181,0.0560413648508181,NA,NA,0.0236873556016779,0.0212897552649396,0.00870448061081863,0.942041830581494,0.832267551869076,2017
"ECU","urban","total","all",NA,0.639859978857652,NA,NA,NA,NA,0.870232998973424,0.0784392111855612,0.00559633130445291,0.0294376885000174,NA,0.900575566534463,0.82098887586124,0.152191168654298,0.015622312948738,0.015622312948738,0.754290573482936,0.131372533097229,0.0136247578823028,0.0136247578823028,NA,NA,0.00216665970682461,0.00903098282889891,0.00128770207199558,0.978109898659002,0.954268541463438,2017
"ECU","rural","total","all",NA,0.360140021142348,NA,NA,NA,NA,0.370666626084491,0.164800374637426,0.0139032963516935,0.322939791497769,NA,0.81932154427401,0.288521213211012,0.421055100858386,0.167118367309005,0.167118367309005,0.257515954792459,0.381505534139622,0.154397465969573,0.154397465969573,NA,NA,0.0735897851654413,0.0497155334561559,0.0259025893723561,0.858406792219685,0.54937029707361,2017
"ECU","country","1","all",NA,0.2,56.7269268469042,91.2,253.741551957843,1721,0.468801952638299,0.183703616593371,0.0112886525420171,0.216977562411426,NA,0.790516407971717,0.423016581838461,0.320067456637652,0.133800788887686,0.133800788887686,0.365291026843042,0.279278739196635,0.122993578875837,0.122993578875837,NA,NA,0.0751382123495324,0.0479769602866684,0.0229530630562029,0.869483131643097,0.663794221773687,2017
"ECU","country","2","all",NA,0.2,119.268763423204,150,492.792357195341,1899,0.65653637620225,0.132263536218028,0.011113954805532,0.144625083537813,NA,0.864767630335954,0.580824136447731,0.299364502175094,0.0789321913659835,0.0789321913659835,0.516440266359442,0.266211888524229,0.0718901228233589,0.0718901228233589,NA,NA,0.0188049044837844,0.0220742655274074,0.0102253526289245,0.933424995958091,0.79991386722581,2017
"ECU","country","3","all",NA,0.2,185.330808016875,227.5,701.760025501798,3066,0.73826233119519,0.106309458449352,0.00591672212611303,0.109653055998343,NA,0.886923558096465,0.670228652409792,0.251076920756984,0.0473690084049874,0.0473690084049874,0.610960492852604,0.226770289356347,0.0432988787848858,0.0432988787848858,NA,NA,0.0153089998679713,0.0160164185602654,0.00589389710262911,0.954224845642884,0.850488511770655,2017
"ECU","country","4","all",NA,0.2,292.733655600087,380,989.306601823936,3526,0.829817954264913,0.0644981542257922,0.00773164639770369,0.0767895555546503,NA,0.905731565488554,0.772547690843896,0.174376568410304,0.0326690518050035,0.0326690518050035,0.719933158882179,0.15302185974064,0.0291966767410636,0.0291966767410636,NA,NA,0.00607723620221082,0.0143294527385855,0.00357987012467198,0.971105664045355,0.902047754888409,2017
"ECU","country","5","all",NA,0.2,741.464200959765,50260,1848.76064155923,50260,0.905217942868594,0.0354977192511032,0.00444457718790216,0.0412834966343421,NA,0.93255785162172,0.856226191610353,0.121094653361313,0.0135506038035755,0.0135506038035755,0.8105015263877,0.108390328397905,0.0128013430406914,0.0128013430406914,NA,NA,0.00308712987683355,0.00604142134792418,0.000864653795423997,0.981999158754039,0.945160239307599,2017
"ECU","urban","1","all",NA,0.0866104459135464,60.2588217663274,91,270.506021109202,1100,0.74104681114659,0.168659504865984,0.00409809232508373,0.0495272456186403,NA,0.836122352763591,0.712871814575101,0.229488591584424,0.0371310027672191,0.0371310027672191,0.613274517712019,0.187642964259923,0.0325950792846764,0.0325950792846764,NA,NA,0.00466556820922489,0.0158430228640304,0.00260979150697249,0.959233561631214,0.913804408337657,2017
"ECU","urban","2","all",NA,0.123967144862556,120.251866636603,150,510.293628905341,1641,0.822518142058673,0.102324476358192,0.00808186891569117,0.0378035613010429,NA,0.878090266394711,0.755608223402766,0.201456720806865,0.0261283377963982,0.0261283377963982,0.675166991446422,0.176967830827519,0.0223745668728321,0.0223745668728321,NA,NA,0.00340181088364373,0.0134049071103278,0.0035808772479371,0.962646179717908,0.932924487332556,2017
